리뷰	플레이타임	유용한 평가	재밌는 평가	구매게임 수	작성 년도	작성 월	label
한국인들은 힐링 게임이라고 사겠지만몇시간 후 노동중인 자신을 발견할것이다	5.9	33	9	40	2020	12	1
농작물은 사드세요... 제발...	118.9	26	46	98	2020	10	1
귀농하는 맛이 죽여주는 게임입니다최근에 멀-티 기능이 베타로 추가되었습니다! 하지만 여러분은 친구가 없잖아요 그러니까 쓸모없는 기능추가에요	58.9	93	232	202	2018	5	1
너무 재미있는데 게임하느라 제가 잠을 못자서 불편해요	382.7	31	81	35	2018	8	1
내 집 마련의 민족들은 뇌에 힘주고 게임해야 함. 힐링 게임이란 사실을 계속 주입시켜주지 않으면 정신 차렸을 때 없는 체력 기절 직전까지 쥐어짜내고 새벽 1시 50분에 침대 들어가며 최대 효율 최대 동선 계산하고 앉았음. 극한 직업이 아니라 리틀 포레스트를 위한 겜이란 걸 잊지 맙시다...	134.7	25	10	134	2019	12	1
모드를 깔기 시작하면 당신은 돌이킬 수 없어질 것이다..............	118.1	25	2	112	2019	7	1
인간관계도 현실세계에서 해 본 사람이 더 잘한 다고 스타듀 밸리 72시간을 했지만 내가 한건 오로지 농사와 낚시, 노예질 뿐이고 결혼한 번 못해본 라이프였다. 하지만 72시간 동안 농사게임으로도 정말 재밌었고 의외의 액션까지 있어서 긴장감도 놓칠 수 없는 갓겜이라고 생각한다. 그나저나 언제 한번은 결혼 해보고 접어야하는데..	248.7	23	56	94	2017	12	1
난 평화로운 귀농 생활을 원했지만남은것은 공장뿐	53.7	27	7	48	2021	4	1
마음에 안든다고 리스타트 하지말것 ,공략은 꼭 나중에 볼 것,빨리 키우고싶다고 공략을 보면서 하다가는 이 게임의 재미를 잘 못느낄수도 있어요.천천히 하나하나 알아가는 맛이 있고 구석구석 돌아다니며 찾아내는 재미 그리고 농사를 짓고 수확하며 한푼 두푼 모아져가는 재미,공략을 보지않아도 재미는 충분히 찾을 수 있으며알아가는 진입장벽도 그리 높지 않습니다.가끔 배그하다가 힐링겸 하러 종종찾아오곤합니다.3년정도 넘어가면 슬슬 질릴법도 하지만서도 그렇다고 지우기에는 또 아쉬운게임언젠간 생각없이 하러 찾아오게 되는 게임입니다.	283.9	53	5	66	2018	6	1
힐링, 치유라기엔 총질과 칼질에 지친 사람들이 쉬어가는 게임에 가깝습니다. 비싼 제철 작물을 계절 안에 최대한 뽑아내기 위해 비료를 주고 일일이 물을 뿌리고 하나하나 뽑아서 분류하고, 숙성하고, 절이고, 출하하기 바쁩니다. 느긋하게 지내자니 작물이 시들어 적자라고 나면 파산 밖에 없죠. 스프링쿨러를 만든다면 반자동화가 되어 숨통이 트이지만 기본 스프링쿨러의 성능에는 정신이 아찔해집니다. 솔직히 누가 힐링할려고 그 힘든 농사일을 하겠습니까? 스태미나가 수치화 된건 좋지만 모든걸 몸으로 때우는 초반엔 오히려 원망스럽겠네요. 땅을 파고 까이고 물을 줘도 까이고 낚시를 해도 까이고 광질을 해도 까이고 음식은 조금 채워주고 약은 비싸서 한가지 일에 집중하다보면 뻗어 쓰러질지경입니다. 그리고 아무리 커피를 마시고 아무리 숙면을 취해도 새벽 2시엔 반드시 혼절해야합니다. 하지만 그 힘든 농사일인데 철저한 자기 스케줄 관리는 필수겠죠. 그리고 이 불합리한 스테미나를 외부적 성상요소로 녹여내는데 성공했습니다. 그렇게 고생하며 키운 농작물을 출하해서 한꺼번에 5000G, 10000G, 30000G씩 점점 크게 한방에 쑥쑥 들어오는걸 보면 농사의 보람까지 느껴집니다.쉽게 말하면 이 게임은 FPS, RPG의 삭막함에 농사라는 산뜻한 기분전환을 주는 게임입니다. 기름지게 볶은 김치 볶음밥, 계란 볶음밥만 먹다가 새우 볶음밥을 먹는정도지 신선한 샐러드같은 힐링게임은 아닙니다. 계절별 가장 효율이 좋은 작물만 골라심고, NPC생활패턴을 연구해서 가장 최적화된 호감도작을 하는걸 힐링게임이라고 하지 않습니다. 이 게임은 농사로써 성공하는 일종의 대리만족을 느끼게 해주는 게임입니다. 은근히 자유도도 높으면서도 NPC들의 생활패턴이나 특정상황의 대화내용 등을 관찰하는것도 재밌습니다. 하지만 어느 순간부터 반복되기만 하는 매년이 지루하기 짝이없는게 유일한 단점입니다. 매년마다 랜덤 요소를 대량으로 섞으면 정말 좋은 게임이 될거같네요.멀티 플레이도 살짝 더 다듬으면 정말 팔망미인 농사게임이 될거같습니다.	68.7	63	14	190	2020	12	1
현생보다 열심히 살게함	126.5	24	16	17	2021	3	1
와 잼있겠다 그래서 한글 패치는?	184.6	38	1	50	2018	10	1
엄마 나 크렌베리만 물주고 설거지할게안에 농작물들이 있잖아!이제 2년차되면 힐링을 하는건지 킬링을 하는건지 해뜰때까지 농사지음 이거 ㄹㅇ임	40.5	34	8	156	2021	1	1
최근 해본 게임 중에서 최고로 재미있고 완벽함.	81.5	29	5	468	2017	6	1
친구랑하니까 59시간이나햇다;;;그치 오른손 왼손아??	92.9	35	117	53	2018	9	1
힐링게임이지만 정작 한국인은 힐링이 아니였다.	29.0	21	10	21	2021	5	1
힐링게임인데 열심히 돈만벌고있습니다.	41.3	25	11	634	2019	6	1
좋아하는 애 뺴고 인간관계 씹창내고 자기만족 할수 있는 갓겜	39.5	27	21	40	2020	6	1
가벼운 판타지 요소가 가미된 전원생활 샌드박스 게임입니다. [하베스트문] 시리즈에 강하게 영향을 받은 게임인데, 본가보다 잘 만든 카피 아닐까 합니다. 간단히 말하자면 시골에서 농장을 경영하며 마을 사람들과 친분을 쌓고 마을 주변에 숨겨진 비밀들을 찾는 게임이라 생각하시면 됩니다. 농장과 마을에서 플레이어가 할 수 있는 것들이 굉장히 많고, 또 잘 만들어져 있는 게임입니다. 소소하게 불편한 부분들이 있긴 한데, 게임을 즐기는데 크게 지장을 줄 수준은 아닙니다.	106.4	30	2	1116	2016	2	1
제사 다음날 잡탕찌개같은 게임 전 예전 피쳐폰 시절 게임을 정말 좋아했습니다.미니게임 천국, 액션 퍼즐 패밀리, 슈퍼액션히어로, 20XX프로야구 , 컴투스 프로야구, 리듬천(맞나요?), 검은방 등등 ...그 많던 게임중에 더 팜3 라는 게임을 정말 재밌게 햇었습니다. 대략 내용이 왕국의 공주가 집을 나와서 농사지으면서 산다는 내용(...) 이었습니다.지금 와서 보면 금수저를 버린 공주가 이해되지 않았지만 예전엔 재밌게 했었습니다.잡설은 그만하고... 이 게임도 비슷합니다. 젊은 주인공이 농촌에 내려와 귀농을 하는 이야기입니다.크게 농사, 가축, 채광, 채집, 낚시 로 나뉘어지는데, 무엇을 하든 제약이 없습니다.근데 게임을 하다보면 어디선가 한번쯤은 겪어보거나, 한번쯤은 본 게임 시스템입니다. 어디서 한번쯤 해서 지겨워 질수도 있습니다.하지만 이 게임은 다른 게임, 혹은 다른 시스템에서 얻은 장점만을 뽑아 개발자 스타일대로 푹 고아냈습니다.마치 어릴적 어머니가 제사 바로 다음날 얻은 전들을 넣어 끓인 잡탕찌개 처럼 말이죠...먼가 여러가지 섞어서 끓여내, 보기에는 맛없어 보이지만, 이게 오묘하게 조화를 이루면서 정말 맛있었습니다.이 게임을 하면서 왠지 어머니의 잡탕찌개가 생각나더군요. 이 게임의 고유한 특색은 예전 콘솔이나 고전게임을 떠올리는 도트 라는 점 빼고 딱히 없습니다. 하지만 묘하게 중독성 있는게, 물건입니다. 이런분에게 추천합니다. - 느긋한것 좋아하시는분- 굶지마, 림월드 , 농사 시물레이션 등 시물레이션 게임 좋아하시는분- 예전 피쳐폰 시절 타이쿤 게임 좋아하시던 분- 고전 게임 도트 좋아하시는 분 - 느긋하게 즐길수 있는 게임을 원하시는 분 - 동물 좋아하시는 분 이런분에게는 추천하지 않습니다. - 빠른 진행의 액션 게임을 원하시는 분- 도트 스타일의 그래픽 싫어하시는 분 - 반복 작업은 1분만 해도 치가 떨리시는 분- 게임은 치고 박고 부수고 죽이고 해야지! 하시는분 ---------------------------------------------------------------------------------------------------------가격도 비세일 기준 14,99$로 타 게임보다 저렴합니다. 한번쯤 치킨 두마리 안사먹는다 치고 사시는 것을 강력히 추천드립니다.덧.이 게임은 1인 개발자가 4년간 bgm, 그래픽, 코드 등등 모두 담당하여 개발했다고 합니다. 대단하네요개발사들은 이분 스카우트 안하고 뭐하는건가...(아마도 이말년 작가님의 두덕리 온라인 웹툰을 보고 만들어지 않나 싶...읍읍)	35.4	34	13	560	2016	12	1
진수엉덩이	45.5	38	17	33	2020	10	1
출근만 아니였으면........	95.3	38	58	795	2016	3	1
뭐야 별로 재미없네요 400시간정도 더 해봐야 알 듯. 헤일리 기다려 이 언니가 간다	193.9	26	57	13	2019	7	1
상점은 9시부터 이용가능 합니다.	62.7	31	8	90	2018	5	1
다른 사람들은 이 게임으로 연애도 하고 부자도 되던데힐링 게임에서도 밤낮을 새가며 광산만 판 나는 대체..	27.0	20	28	44	2019	10	1
다좋은데 하루가너무빨리가요 인게임 하루가 그래서 집에 와따가따하는게 짜증나요 그것만아니면 킬링타임용으로딱인데	36.8	25	1	35	2018	8	1
아이 갖는게 이렇게 어려운 건줄 몰랐습니다	60.2	33	28	114	2019	4	1
와....... 경쟁게임 안좋아 하시거나 지치신분이나 평화로운 게임하시고 싶으면 정말 강추예요.저는 처음엔 그래픽이 무슨 도스게임도 아니고 너무 구리다..라는 생각에 시큰둥했고켜본 후에는 뭘해야할지도 모르고 괜히샀나싶고 지루하게 느껴서 환불하려고 생각도 했는데...어느새..... 무언가 잘못되었다고 느끼고 있습니다.....그래픽도 눈에 들어오지도 않고 마냥 즐겁고나오는 이벤트들도 즐겁고 시간이 지날수록 완성된 농장을 보는것도 너무 즐겁고 뿌듯하고.멈출수가 없습니다. 컨덴츠가 비어있는 곳도 없어요. 다 무언가 할수있어요.현실이 아니라 여기 인생을 살고싶네요.이런 게임 만들어주셔서 감사합니다 ㅠ_ㅠ	21.8	36	3	42	2018	6	1
귀농의 어려움을 되게 잘표현해놓은 게임이네요동네주민들이랑 호감도 쌓을려면 열심히 농사지어서 뭐 갖다바치고.. 매일매일 뭐 좀 갖다달라고 편지보내대고... 정작 30일지나면 계절바뀌는것도모르고있다가 29일날 감자 2천원어치 정말 열심히 심었는데 갑자기 계절이바뀌더니 죄다 시들어버리고... 농사짓느라 호감도 소홀히했더니 마을축제에서 왕따당함...특히 쉐인인지 이새끼는 '기억하지못하는 얼굴인데'이러다가 맥주한잔 갖다바치면 바로 이름부르면서 고마워합니다 (제일나쁜속물새끼...) 왜 칼을 휘두르는데 npc가 안죽게해놨는지 알거같더라구요할거 되게많아서 어느순간 보면 시간 왕창가있어요 가끔 힐링할때 좋은듯.	61.2	21	26	482	2017	7	1
협동하는 것을 좋아하고 느긋하게 또 힐링을 좋아하는 사람에게 추천하는 게임. 그야말로 그냥 롤을 하고 망가진 멘탈(정신)을 치유하기 적합한 게임이라고 생각한다. 스타듀 밸리 카페는 사람으로 가득하고 초보자도 누구다 쉽게 게임을 즐길 수 있는 정보가 있기에 혼자해도 무관하고 멀티를 통해 게임을 배움에도 끝 무리 없이 잘 따라갈 수 있다. 게임은 정답이 없다는 것이 이 게임에서 보여준다. 입을 다물 수 없는 다양성이 이 게임의 매력이다.- + 멀티 추가되어 혼자 외롭지 않게 게임을 즐길 수 있다.- 혜자스러운 가격으로 수많은 콘텐츠를 즐길 수 있다.(애드온이 상당하다)- 답은 없다. 게임 진행을 자신의 스타일로 게임을 즐길 수 있다.- 초등학생도 다 할 수 있을 만큼 초반만 어렵고 2년차만 진행하면 쉽다. 게임도 아기자기하고 부담 없다.- 매번 다르고 새로운 축제가 우리를 기다린다.- NPC와 연애 가능 시스템 - 다양한 번들- 이외에 추가되는 콘텐츠가 DLC로 판매되지 않은 점과 꾸준한 업데이트를 진행한다는 점 - 농사, 가축, 채광, 낚시, 번들 이외에 날씨가 변화가 있을 때 조금 다른 게임 진행굳이 왜 이 게임을 하지 않죠? 라고 묻고 싶다. 단점보다 장점이 많은 게임스팀 어워드에서 상을 받은 게임으로 닌텐도 스위치에서 게임이 지원된다. 혼자 만든 개발자는 대단한 능력자!	132.0	26	2	258	2018	12	1
닌텐도가 없다구요? 동숲이 없다구요? 이게임을 해보세요~!	7.7	24	7	125	2020	5	1
게임 금액에 그 만큼 가격을 하는 게임은 별로 없었는데 이 게임인거 같아요.한 마디로 재밌어양!	148.6	33	9	28	2017	6	1
반복되지않는일상으로 인하여 질릴거라는 예상을 깨버림 컨텐츠도 다른 타게임과 달리 많고 갓겜다만 한국어 미지원이라 한패해서 쓰지만 정식한글화좀..	177.4	27	3	59	2018	7	1
피에르가 사실 최종보스 아닐까?	23.4	21	4	19	2021	8	1
한국인의 특성상 절대로 느긋하게는 못하는 게임.저녁에 침대에 몸을 눕히면서 내일 할 일들 머릿 속으로 정리해야함.일어나자마자 티비 전부 시청해주고 농작물 관리해주고 하루를 시작.바쁜 게임이지만 아무튼 재밋음.	25.7	25	1	163	2021	1	1
귀농하러 왔다가 어느순간 어부가 되있었다.	117.4	25	31	201	2016	12	1
SFC 하베스트문의 느낌을 주는 농장경영 게임1인 개발인데도 완성도가 높고 컨텐츠도 다양한 농장경영 게임입니다.농장경영 게임의 기본인 농사, 목축 뿐 아니라 낚시도 생각보다 재미있고 광산 시스템도 괜찮습니다.RPG 요소도 잘 가미되어 농사를 많이 지으면 농업 레벨이 올라가고 농업에 도움되는 도구들을 만들 수 있습니다.게임의 난이도는 낮은 편인데 생각보다 레벨업이 빠르고 NPC들과 호감도를 올리는 것도 쉬운 편입니다.난이도가 낮기에 정석 루트가 없고 원하는대로 플래이해도 된다는 점이 좋습니다.게임이 완벽한것은 아니고 중간중간 버그가 있거나 문제가 있는 부분도 있지만 개발자가 계속해서 피드백을 받고 게임을 수정하고 있기에 큰 문제는 아니라고 생각됩니다.	105.1	23	3	1155	2016	3	1
처음에는 픽셀 그래픽 때문에 플레이할까 망설였는데,생각없이 플레이하다보니 벌써 한 달이 순삭됐네요ㅠㅠ제 인생 통틀어 최고의 힐링 게임이었습니다!업적 따는 재미를 포함해 결혼에 육아까지...요새 코로나 때문에 밖도 잘 못 나갔는데 덕분에 뭔가 마음이 꽉 차는 기분을 받았습니다ㅎㅎ지금도 계속 업데이트 되고 있는 걸로 알고 있지만,나중에 대규모 업데이트가 된다면 꼭 다시 한 번 플레이할 생각입니다!어쨌든 한 달 동안 스타듀 밸리에서 지내면서 참 행복했습니다!안녕 헤일리, 아이작, 세이라ㅎㅎ	194.4	27	3	186	2020	5	1
""" 본 리뷰는 140시간을 플레이한 이제 막 소금물이 된 유저의 리뷰입니다 "" 첫 시작은 미미하게 시작했으나 끝에 도달할수록 창대해지는 게임.스토리는 돌아가신 할아버지의 농장을 물려받아 망가진 농장을 수리하고, 새로운 설비를 만들기도 하고 작물을 키워 팔며하루하루를 보내는 게임입니다.호감도 기능을 이런 일상적인 게임에 집어 넣은건 신의 한수더군요.지루하게 농작물을 키워 팔아치우는것보다도 지역 주민에게 자신이 직접 재배한 농수산물을 지역 주민에게 주면서호감도를 올릴수 있어 주민들과의 사이가 날이갈수록 돈독해질수 있음을 알수 있습니다.처음엔 무뚝뚝한 지역 주민들이 갈수록 주인공에게 마음을 연다는걸 느낄수 있게된다는 의미이기도 하지요.또한 매번 업데이트를 통하여 새로운걸 추가해 나가니. 유저들이 지루하지 않게 한다는것이죠.Ex) 암시장 이벤트 , 멀티플레이어 가장 큰 장점이라면 누구던지 무리없이 즐길수 있다는 점이겠죠.어린 아이들 , 게임을 쉽게 접하지 못하는 분들도 쉽게 접할수 있습니다.단점이 있다면 게임에 시간을 많이 들여야만 제대로된 농장을 갖출수 있기에게임을 짤막짤막하게 즐기는 직장인 분들에게는 제대로 즐기기엔 어렵다는 단점이 있습니다.또한 픽셀류에 익숙치 않거나 특이 케이스로 도트를 오래 보시면어지러운 분들에게는 힘든 게임이 될수도 있습니다.그 의외엔 모든점에서 만족스러운 귀농 게임입니다."	142.1	20	1	162	2019	4	1
언젠가 대도시 근교에 작은 집을 짓고 마당에서 간단한 채소나 과일을 심고 개를 키우며 살고 싶다.대도시에서 매연과 군중에 부대끼며 경쟁 속에서 살아가는 이들은 한 번쯤 이런 생각을 했을 것이다. 나 역시 그러하다. 그 마을에 어여쁜 미남미녀들은 없을지라도 말이다. Stardew Valley는 그러한 바램을 매우 잘 구현했다. 그것도 2D 도트 타입 그래픽 디자인으로 시각적인 피곤함을 덜 유발함과 동시에 과거 2D 게임들의 향수까지 느끼게 해주며, 요구 시스템 사양이 낮아 많은 이들이 쾌적하게 플레이할 수 있다.농장, 마을, 광산, 호수, 바다, 기찻길 등의 오픈 월드농사, 채광, 채집, 낚시, 전투 등 스킬과 레벨의 롤플레잉사계절에 따라 달라지는 자연과 마을의 이벤트에 따른 경영 시뮬레이션마을 사람들과 만남과 친해짐으로 맺어지는 관계 및 연애 시뮬레이션위의 장르가 포함되는 Stardew Valley는 아래와 같은 재미를 준다.농장 발전과 마을 변화에 대한 경영수집 요소 달성을 위한 전략낚시와 전투 등의 간단한 캐주얼 액션자연스럽게 접목된 현대와 판타지 흥미 요소교류에 따라 발전 및 확장되는 인간관계대화와 선물 그리고 이벤트로 이어지는 연애 Stardew Valley는 자연을 가까이할 때 느낄 수 있는 편안함에 귀여운 그래픽과 의미 있는 대사들 그리고 즐길 거리로 지루하지 않은 즐거움을 주는 좋은 힐링 게임으로 추천한다.	32.4	37	5	1670	2019	11	1
가볍게 하기에 좋습니다~^^	906.3	19	69	33	2021	7	1
1년차가 넘어가는 순간부터 돈은 의미가 없어지고 돈버는 재미도 사라진다. 하지만 그럼에도 계속해서 하루동일 농사만 지으면서 돈에 연연하는 거지근성을 가진 나를 찾아보게된다.	39.5	21	3	78	2021	4	1
씹갓겜 힐링 ㄱㄴ 애완동물 대리만족 ㄱㄴ 여자친구 대리만족 ㄱㄴ.......	15.3	31	36	44	2019	12	1
나에게 사랑이 뭔지 알려준 게임	26.9	23	23	228	2021	4	1
비 좀 내려주세요 선생님	97.0	20	15	79	2019	8	1
장점: 힐링됨단점: 한국인의 종특으로 힐링을 힐링으로 받아들이지 못하고 돈부터 범	61.4	19	16	44	2020	8	1
천천히, 조금씩.편편한 이차원 마을의 일상에 녹아들어서.9/10	207.1	22	1	629	2017	9	1
'본격! 귀농 알피쥐' 부제: 두덕리 온라인힐링을 원하시는 분들을 위한 게임, 굉장히 재미있게 플레이 중입니다. 싱글 게임이 하고싶을때나 평화로운 pvp없는 게임을 하시길 원하시는 분께 강추 또 강추정말 중요한tip. 게임 플레이 하실때 여러가지 업적 보상이 있는데 이거 보상 받으려고 너무 시작부터 '공략'보면서 열심히 하지마시고 천천히 하시는 것을 강추합니다. 너무 업적에 집착하시면 단순 노동게임이 되버리기 때문에 천천히 힐링게임하면서 마을에서 여러가지 해보시길 바랍니다 3년이라는 시간동안 하는데 결과적으론 업적 전부다 꺠게 되어있으니 1년차에서는 그저 편안하게 귀농생활을 즐기시면 됩니다.	127.2	22	12	615	2018	6	1
나는 보통 게임할때 플레이 할 동기도 자꾸 잃어버리고, 지루함도 잘 느끼고, 단점을 잘 발견하는데... 모르겠다. 이 게임은 게임일 뿐 이지만 내가 이렇게 열심히 하루를 살아간적 있었을까 싶을 정도로 충실한 삶을 살아가게 해준다. 오늘은 무얼할까? 내일은 무얼할까? 오늘이 충만하고 내일의 설렘이 있는 게임이다. 보통 게임을 어느정도 플레이하고 게임 구조가 파악되면 왠지 앞날이 그려져서 쉽게 흥미를 잃는 나지만 아직도 할게 많고 그 후에도 할게 많다는 게 느껴지니 도저히 흥미가 식질 않는다. 추천.	221.1	21	6	30	2019	4	1
옛날스러운(?) 귀여운 그래픽.배경음악이며 농촌에서의 삶이 힐링되는 게임입니다.다만 공략을 보는 날부터마을주민과의 관계와 생일에 집착하게 되며, 게임을 접는 날이 다가옵니다.집을 멋들어지게 만들겠다는 욕심으로 각종 스킨 파일과 농장 꾸미기에 애를 쓰지만..판이 커질수록 가랑이 찢어집니다...신경쓸게 많아지면서 이동속도를 최대로 올리는 방법까지 써버립니다.시간도 하루를 한달같이 살아버립니다.광산 안에서도 무적으로 플레이하기 시작합니다.왜냐면 내가 다 가지고 싶으니까.시작은 좋았으나 끝을 공략으로 마무리하며, 피곤함을 느낄 수 있습니다.공략을 보기 전으로 돌아가고 싶습니다.물론 저는 접은지 오렌지입니다.사랑했습니다.	118.0	16	5	20	2018	2	1
토요일 아침에 키면 일요일 저녁이 되어있는 게임...	220.3	16	6	270	2016	11	1
멀티가 돼요! 멀티가! NTR은 안돼요! 미친놈들아!!대신 재산 공유가 되기 때문에 서로 경쟁이나 긴장을 불러일으키는,힐링겜의 의도를 벗어난 킬링겜이 돼버려써요!누가 먼저 코가 베일까!!아 그리고 트레일러 브금이 증말 좋네요. 일단 다 들어봐요!하루에 한번씩 들으러 옵니다 ;P	92.4	29	66	257	2018	5	1
뭐야 내 시간 돌려줘요	144.2	18	31	37	2020	1	1
할아버지덕에 농사킹도 되고 결혼까지 함	53.5	30	10	221	2017	3	1
침대에 눕기 직전 30분~ 1시간 동안 짧게 즐길 힐링게임이라 생각하고 구매했는데,구매한 첫 날부터 밤샘 플레이했어요..재미있고, 아기자기합니다!	50.0	21	2	24	2020	2	1
최고의 힐링게임	115.0	17	4	627	2018	7	1
현실도 농사를 약간하고있는데 게임에서도 농사를 짓고있네....정말 힐링된다....	25.3	20	33	150	2018	5	1
저는 이게임을 해보는걸 권장 합니다이 게임에서는 도시에서 매우 바쁜삶과 달리 매우 느긋한플레이를 재공하기는 개뿔농장에 오자마자 여기가 정글인지 농장인지 구분이 안가는 농장과 그리고 돈만 있으면주민들이 자신이 이혼한걸 기억속에서 삭제할수있는 자본주의세상!양다리 걸칠수있는 미친 자유도! 매일 일어나서 물주고 낚시하고 광질하고 호감도 높이고잠드는 매일 똑같은 세상! 하지만 하다보면 무언가를 성공하면 얻는 성취감은 매우 커다랍니다 하지만 여러분은 만족하지못하고 모드를 깔아서주민이 못생겨서 강재로 성형수술 시키는모드! 농장 관리하라고 있는 트랙터모드로광산을 캐고있는 당신을 발견할거 입니다뭐 그래도 재미 하나는 보장 합니다 그리고 이게임에서 멀티를 하면 두배가 됩니다네 ? 뭐가 두배 냐고요 일의 효율! 재미! 개같은 상황! 버그! 건물 업그레이드 하기위한 돈!이모든게 두배가 됩니다 다른거는 서로 한사람을 가진다고 싸울수도 있죠 뭐 그래도 어떤가요 재미가 있어요! 그런데 아직 저는 많이 플레이 해보지 않아서 잘 모르내요 여러분들은 저보다 많이 해보변서더욱 많은 재미를 찾아보세요 참고로 몬스터한테 처맞아서 템잃을때 중요하거나비싼아이템을 잃으면 그만큼 개같은 상황은 없습니다! 하지만 재미는 있습니다!어서 구매하세요!!!!	131.8	19	48	32	2020	4	1
혼자하면 힐링은 되는데 점점 할수록 신안듀밸리로 변하고 친구들하고하면 진정한 힐링할수 있음	62.6	20	13	118	2019	12	1
모드로 멀티있고한데 솔플로도 충분히 즐길수있습니다 게임키면 시간가는줄모르고 계속 플레이하는 자신을 볼것입니다!	138.8	21	1	279	2017	4	1
에이 농사게임 뭐 별거있겠어?하는순간 당신의 시간은 이제 당신의 것이 아니게 됩니다.(짜잔)	215.4	17	5	277	2018	12	1
순수한 마음으로 시골왔다가 적폐와 비리를 보게되는 스펙타클한 귀농일기 추천드립니다.적폐라고 생각했던 대기업은 사실,순수하게 마을 발전을 도우려고 온 사람이고진짜 적폐는 마을에서 싼 가격으로 남의 농산물 제일 고급진걸 지 이름으로 팔질 않나,의붓아들 편애하면서 사람 좋은척 쳐 웃는 놈이나 그걸 못본척 하는 친엄마나 막장 시골 일기였음	407.2	16	10	1	2021	9	1
이걸 하면서 나도 이런 삶을 살고 싶다는 생각에 상대적 박탈감을 주는군요.훌륭합니다.	132.1	23	11	294	2019	11	1
현실에서는 백수였던 내가 이세계에서는 하렘왕	229.2	32	68	97	2019	12	1
스팀을 가입했다? 무조건 사야하는 게임	615.7	19	0	19	2019	7	1
하베스트문(목장이야기)을 기억한다면 추천.그 추억을 PC에서 높은 완성도로 즐길 수 있는 게임.	2.3	19	3	5366	2017	11	1
아 할거 되게 없네 ㅡㅡ	1201.9	26	101	49	2021	8	1
내 인생의 첫 2달동안 3~5시간씩 집중한게임.처음엔 물건들이 뭔지 어떤아이템은 뭔지...뭔지 모를 과일그리고 채소 그걸 열심히 가꾸는 나였다.작물을 수확하고 여러종류의 등급을 받고,열심히 모아서 마을에 기부를 하지만, 조자콜라주식회사를 없애는것 외에는 큰 보람이 느끼진 않는다.마을 사람들과 대화를 하여 친분도 쌓고거지할아버지한테 물고기도 선물받고,여러의미로 농작물에 대해 공부가 됬다.현실성 있게 채소들의 가격을 적당량있게 팔아간다.사는것도 마찬가지, 열심히 하면 몇천만원은 모은다.인내심이 좋은 친구들끼리 하는것은 추천하나, 인내심이 털끝도 없는 친구랑 하는것은 비추천한다.워낙 게임이 하다가 무한반복의 노가다 이기도 하며, 질리기도 한다.그리고 내친구들은 하다가 자기도한다.나름 나는 재미있게 플레이를 했으며, 이 게임에 시간을 투자한것은 만족한다.한번쯤은 해보는것도 나쁘지 않다.읽어주셔서 감사합니다.:)	167.1	19	3	70	2021	1	1
누가 세상에서 제일 취향저격인 겜을 물어본다면 일초 고민두 안하구 스타듀밸리라 말하고 싶따 ...스팀을 알게해준것도 스타듀밸리이지만 매일 밖에서 살던 나를 집에 있게 해준 갓겜 만육천원 하나도 안아깝구요 지금 5회차 플레이 중인데 전혀 질리지 않아요 컨텐츠가 너무 많아서 ... 친구들두 스타듀밸리를 엄청 좋아해서 같이 플레이하고 그래요 세일하지 않았을때 사도 전혀 아깝지 않으니 지금 바로 지르세여..^..	841.0	19	3	11	2017	2	1
